Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
4178,AZ,Zero Emission Vehicle Emissions Test Exemption,"Electric vehicles registered in Arizona are not required to complete
annual emissions testing. All alternative fuel vehicles, excluding
electric and hydrogen vehicles, used to commute into Phoenix or Tucson
are required to be emissions tested before they are registered. For more
information, visit the [Arizona Department of Environmental
Quality](http://www.myazcar.com/) website.

(Reference [Arizona Revised Statutes 49-541, 49-542 and 49-542.05](https://www.azleg.gov/ARStitle/))",2016-01-01 00:00:00 UTC,,false,42,State Incentives,"",2015-05-13 18:37:27 UTC,,,,"",ELEC|HY,EXEM,"",FLEET|GOV|IND,https://www.azleg.gov/ARStitle/,enacted,2016-01-01
4179,AZ,Reduced Alternative Fuel Vehicle (AFV) License Tax,"The vehicle license tax for an AFV registered in Arizona is \$4 for
every \$100 in assessed value. The minimum amount of the annual AFV
license tax is \$5. AFV assessed values are determined as follows:

-   For AFVs initially registered between January 1, 2022, and December
    31, 2022, the assessed value of the AFV is 20% of the manufacturer's
    suggested retail price (MSRP);
-   For each succeeding year, for the purpose of calculating the license
    tax, the assessed value of the AFV is reduced by 15% from the value
    from the preceding year.

For the purpose of this tax, AFVs include those powered exclusively by
propane, natural gas, electricity, hydrogen, or a blend of hydrogen with
propane or natural gas. For more information, see the ADOT
[AFV](https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle)
website. The reduced alternative fuel vehicle license tax does not apply
to any vehicle purchased on or after December 31, 2022.

(Reference [Arizona Revised Statutes 1-215, 28-5801, 28-5805](https://www.azleg.gov/arstitle/))",2018-04-25 00:00:00 UTC,2019-06-07 00:00:00 UTC,false,30,State Incentives,"",2019-06-28 23:33:14 UTC,,,,"",ELEC|HY|NG|PHEV|LPG,TAX,"",FLEET|GOV|IND,https://www.azleg.gov/arstitle/|https://www.azleg.gov/|https://www.azleg.gov/,amended,2019-06-07
4219,CA,Employer Invested Emissions Reduction Funding - South Coast,"The South Coast Air Quality Management District (SCAQMD) administers the
Air Quality Investment Program (AQIP). AQIP provides funding to allow
employers within SCAQMD's jurisdiction to make annual investments into
an administered fund to meet employers' emissions reduction targets. The
revenues collected are used to fund alternative mobile source emissions
and trip reduction programs, including alternative fuel vehicle
projects, on an on-going basis. Programs such as low emission,
alternative fuel, or zero emission vehicle procurement and old vehicle
scrapping may be considered for funding. For more information, including
current requests for proposals and funding opportunities, see the
[AQIP](http://www.aqmd.gov/home/programs/business/business-detail?title=air-quality-investment-program)
website.
",,,false,80,State Incentives,"",,,,,"",BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GNT,"",STATION|MAN|FLEET,"",,
4241,CA,Electric Vehicle (EV) Charging Rate Reduction - SMUD,"The Sacramento Municipal Utility District (SMUD) offers a discounted
rate to residential customers for electricity used to charge EVs. For
more information, see the SMUD [Rate
Details](https://www.smud.org/en/Rate-Information/Time-of-Day-rates/Time-of-Day-5-8pm-Rate/Rate-details#EVdiscount)
website.
",,,false,149,Utility / Private Incentives,"",2018-11-14 16:18:22 UTC,,,,"",ELEC|PHEV,OTHER,"",IND,"",,
4272,CO,Alternative Fuel Vehicle (AFV) Weight Exemption,"Gross vehicle weight rating limits for AFVs are 2,000 pounds greater
than those for comparable conventional vehicles, as long as the AFVs
operate using an alternative fuel or both alternative and conventional
fuel, when operating on a highway that is not part of the interstate
system. For the purpose of this exemption, alternative fuel is defined
as compressed natural gas, propane, ethanol, or any mixture containing
85% or more ethanol (E85) with gasoline or other fuels, electricity, or
any other fuels, which may include clean diesel and reformulated
gasoline, so long as the Colorado Air Quality Control Commission
determines that these other fuels result in comparable reductions in
carbon monoxide emissions and brown cloud pollutants.

(Reference [Colorado Revised Statutes 42-4-508](https://advance.lexis.com/container?config=0345494EJAA5ZjE0MDIyYy1kNzZkLTRkNzktYTkxMS04YmJhNjBlNWUwYzYKAFBvZENhdGFsb2e4CaPI4cak6laXLCWyLBO9&crid=027197de-15f0-4ff2-a5dc-6a357d222487))",2016-05-04 00:00:00 UTC,,false,35,State Incentives,"",2016-07-12 17:14:47 UTC,,,,"",AFTMKTCONV|ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,https://advance.lexis.com/container?config=0345494EJAA5ZjE0MDIyYy1kNzZkLTRkNzktYTkxMS04YmJhNjBlNWUwYzYKAFBvZENhdGFsb2e4CaPI4cak6laXLCWyLBO9&crid=027197de-15f0-4ff2-a5dc-6a357d222487,enacted,2016-05-04
4378,IL,Fleet User Fee Exemption,"Fleets with 10 or more vehicles located in defined areas of the state
must pay an annual fee of \$20 per vehicle in addition to registration
fees. Owners of electric vehicles are exempt from this fee. The Office
of the Illinois Secretary of State deposits all fees into the Electric
Vehicle Rebate Fund.

(Reference [Illinois Compiled Statutes 120/35](http://www.ilga.gov/legislation/ilcs/ilcs.asp))",2004-08-12 00:00:00 UTC,,false,60,State Incentives,"",,,,,"",ELEC,EXEM,"",FLEET|GOV,http://www.ilga.gov/legislation/ilcs/ilcs.asp,enacted,2004-08-12
4684,OR,Alternative Fuel Loans,"The Oregon Department of Energy administers the Small-Scale Local Energy
Loan Program which offers low-interest loans for qualifying projects.
Eligible alternative fuel projects include fuel production facilities,
dedicated feedstock production, fueling infrastructure, and fleet
vehicles. Loan recipients must complete a loan application and pay a
loan application fee. For more information, see the [Energy Loan
Program](https://www.oregon.gov/energy/incentives/pages/energy-loan-program.aspx)
website.

(Reference [Oregon Revised Statutes 470](https://www.oregonlegislature.gov/bills_laws/Pages/ORS.aspx))",2005-06-14 00:00:00 UTC,2011-08-05 00:00:00 UTC,false,11,State Incentives,"",,,,,"",BIOD|ETH|ELEC|EFFEC|HY|IR|NG|PHEV|LPG,LOANS,"",STATION|AFP|FLEET,https://www.oregonlegislature.gov/bills_laws/Pages/ORS.aspx,amended,2011-08-05
4780,VA,High Occupancy Vehicle (HOV) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the Virginia Clean Special
Fuel license plate may use Virginia HOV lanes on specified areas of
I-64, I-264, I-564, the Dulles Toll Road, and in the City of Alexandria,
regardless of the number of occupants. For HOV lanes serving the I-66
corridor, only registered vehicles displaying Clean Special Fuel license
plates issued before July 1, 2011, are exempt from HOV lane
requirements. Only dedicated AFVs are eligible; see the [Virginia
Department of Motor
Vehicles](https://www.dmv.virginia.gov/vehicles/license-plates/clean-vehicles)
website for a complete list of qualifying vehicles. The annual fee for
Clean Special Fuel license plates is \$25 in addition to the prescribed
fee for commonwealth license plates. This exemption expires September
30, 2025. For more information, see the Virginia Department of
Transportation [HOV](http://www.virginiadot.org/travel/hov-default.asp)
Lanes website.

(Reference [Virginia Code 33.2-501 and 46.2-749.3](http://lis.virginia.gov/000/src.htm))",,2012-04-18 00:00:00 UTC,false,25,State Incentives,"",2015-09-10 19:28:49 UTC,,,,"",ELEC|HEV|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://lis.virginia.gov/000/src.htm,amended,2012-04-18
4781,VA,Alternative Fuel School Bus and Fueling Infrastructure Loans,"The Virginia Board of Education may use funding from the Literary Fund
to provide loans to school boards that convert school buses to operate
on alternative fuels or construct alternative fueling stations.

(Reference [Virginia Code 22.1-146](http://lis.virginia.gov/000/src.htm))",,,false,40,Laws and Regulations,"",,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,LOANS,"",STATION|MAN|FLEET|GOV,http://lis.virginia.gov/000/src.htm,,
4806,WA,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"AFVs powered exclusively by electricity, natural gas, liquefied
petroleum gas, and propane are exempt from state emissions control
inspections. Plug-in hybrid electric vehicles that obtain a U.S.
Environmental Protection Agency fuel economy rating of at least 50 miles
per gallon during city driving are also exempt from these inspections.

(Reference [Revised Code of Washington 46.16A.060](http://apps.leg.wa.gov/rcw/))",,,false,55,State Incentives,"",,,,,"",ELEC|NG|LPG,EXEM,"",FLEET|GOV|IND,http://apps.leg.wa.gov/rcw/,,
5182,GA,Electric Vehicle (EV) Charging Station Tax Credit,"An eligible business enterprise may claim an income tax credit for the
purchase or lease and installation of qualified EV charging station. The
EV charging station must be located in Georgia. The tax credit is for
10% of the cost of the EV charging station, up to \$2,500. If not used
during any taxable year, this tax credit may be carried forward for up
to five years. Beginning January 1, 2025, the tax credit may be carried
forward for up to three years. For more information, including
eligibility requirements, see the Georgia Department of Natural
Resources [Clean Vehicle Tax
Credits](https://epd.georgia.gov/forms-permits/air-protection-branch-forms-permits/clean-vehicle-tax-credits)
website.

(Reference [Georgia Code 48-7-40.16](https://www.legis.ga.gov/))",2015-07-01 00:00:00 UTC,2024-05-06 00:00:00 UTC,false,20,State Incentives,"",,,,,"",ELEC|PHEV,TAX,"",STATION|FLEET,https://www.legis.ga.gov/|https://www.legis.ga.gov/,amended,2024-05-06
5183,GA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the proper alternative fuel
license plate may use HOV and HOT lanes, regardless of the number of
passengers. Qualified AFVs may also use the HOT lanes toll-free. AFVs
include electric vehicles and bi-fuel or dual-fuel vehicles that operate
on natural gas or propane. Applicants must provide proof they have paid
registration fees in full before receiving the license plate. This
exemption expires September 30, 2025. For more information on fees and
eligibility for the AFV license plate, see the [Georgia Department of
Public Safety](https://dps.georgia.gov/i-85-expres-lanes-hot-lanes)
websites.

(Reference [Georgia Code 32-9-4, 40-2-86.1, and 40-6-54](http://www.legis.ga.gov/en-US/default.aspx))",2009-11-05 00:00:00 UTC,2015-05-04 00:00:00 UTC,false,45,State Incentives,"",2015-05-05 18:13:50 UTC,2025-10-01 00:00:00 UTC,,,"",AFTMKTCONV|ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://www.legis.ga.gov/en-US/default.aspx|http://www.legis.ga.gov/en-US/default.aspx,amended,2015-05-04
